Provinsi,Kabupaten/Kota,Luas Panen 2018,Luas Panen 2019,Luas Panen 2020,Luas Panen 2021,Luas Panen 2022,Luas Panen 2023,Luas Panen 2024,Produksi Padi 2018,Produksi Padi 2019,Produksi Padi 2020,Produksi Padi 2021,Produksi Padi 2022,Produksi Padi 2023,Produksi Padi 2024,produktivitas
Jambi,Tanjung Jabung Timur,8215.91,8015.17,12859.19,7399.22,6440.25,6440,6903,30852.23,34357.79,57278.67,30642.71,24562.32,22904,26838,3.5565217391304347
Jambi,Tanjung Jabung Barat,7130.13,7841.31,7771.01,6861.18,3495.35,3495,5946,31729.64,32610.52,32097.26,29971.59,14339.58,24065,27832,6.8855507868383405
Jambi,Tebo,7132.31,4944.76,5717.21,4543.11,4068.71,4069,3548,33318.59,18928.84,25994.79,22717.17,19561.77,19603,16406,4.81764561317277
Jambi,Bungo,5281.6,4327.14,5328.54,4175.56,4118.39,4118,3607,23094.51,16882.34,19855.37,15233.7,17110.03,22228,15865,5.397765905779504
Jambi,Kota Jambi,1006.53,322.07,627.52,357.92,308.55,309,340,4088.72,1051.2,2691.82,1367.93,1298.62,1345,1425,4.352750809061488
Jambi,Kota Sungai Penuh,6067.16,6102.43,6682.76,5294.4,5854.86,5855,5173,36525.14,37152.37,40943.24,33412.97,35880.87,28866,31977,4.930145175064048
Sumatera Selatan,OGAN KOMERING ULU,3039.42,3609.61,3601.12,2739.2,2995.52,2946,2716,14124.16,17739.97,16365.67,12015.11,13784.51,13956,12766,4.737270875763747
Sumatera Selatan,OGAN KOMERING ILIR,95573.8,95560.21,96370.64,85002.59,98450.44,90098,98285,484123.06,484604.79,525218.03,465965.86,534586.78,525900,567657,5.836977513374325
Sumatera Selatan,MUARA ENIM,18082.82,20070.19,12513.65,11767.93,12198.51,11528,13042,84206.44,83125.84,51866.22,47035.46,55650.55,58789,57671,5.0996703678001385
Sumatera Selatan,LAHAT,13966.04,14499.32,14167.74,13708.57,14355.48,13410,12665,75360.65,73128.99,70278.25,66001.95,74549.71,68922,63351,5.139597315436242
Sumatera Selatan,MUSI RAWAS,24368.45,21935.15,22883.82,20352.72,17987.67,18686,19585,122214.04,103511.64,123933.68,120025.94,100005.52,107355,114270,5.745210317885047
Sumatera Selatan,MUSI BANYUASIN,39039.08,29488.73,33526.84,31472.23,29601.57,26671,25106,176385.25,136642.56,157015.79,149202.8,144445.74,143115,122158,5.3659405346631175
Sumatera Selatan,BANYUASIN,212648.57,208597.95,211187.16,184834.91,177999.36,177667,188351,1038489.34,905845.79,917156.76,887255.63,897427.6,920413,958342,5.1805512560013955
Sumatera Selatan,OGAN KOMERING ULU SELATAN,7218.88,7205.87,7472.12,7697.5,7013.5,7899,7686,32129.07,37418.38,38509.64,44654.28,39203.3,47059,46090,5.957589568299785
Sumatera Selatan,OGAN KOMERING ULU TIMUR,96725.97,92116.61,99645.54,95809.26,108075.32,106700,108233,638198.79,575340.17,633627.74,574966.07,701509.52,716876,689773,6.718612933458294
Sumatera Selatan,OGAN ILIR,38896.17,19167.29,21820.01,18403.69,21150.62,21654,19882,185090.11,71846.34,82073.28,76856.01,104927.85,101395,89600,4.682506696222407
Sumatera Selatan,EMPAT LAWANG,14390.13,14115.04,13554.18,10705.6,8672.6,10416,8929,60044.69,55920.35,60730.88,45149.22,39687.3,50708,43159,4.868279569892473
Sumatera Selatan,PENUKAL ABAB LEMATANG ILIR,4163.45,4297.06,3890.69,3900.26,5334.75,5801,6160,16929.87,17220.71,15586.11,16783.5,22573.26,25465,27045,4.3897603861403205
Sumatera Selatan,MUSI RAWAS UTARA,4852.7,1650.16,2829.84,2925.95,2943.14,2687,2684,20836.01,6495.6,12924.13,12471.86,12304.47,11976,11359,4.457015258652772
Sumatera Selatan,PALEMBANG,4478.14,2730.04,3380.39,2475.24,2371.64,3098,2645,24470.82,12682.17,14304.74,10301.44,11067.82,15299,12103,4.938347320852163
Sumatera Selatan,PRABUMULIH,44.18,33.44,34.8,36.86,35.82,36,50,223.87,136.49,137.53,142.91,143.12,159,203,4.416666666666667
Sumatera Selatan,PAGAR ALAM,2804.25,2668.15,2786.69,2705.03,2966.59,3582,3636,14881.78,12735.42,14798.8,14594.21,16820.27,18709,18629,5.2230597431602455
Sumatera Selatan,LUBUK LINGGAU,1282.56,1571.7,1655.53,1704.11,1225.67,1265,1596,6483.89,9001.03,8532.43,9020.94,6381.94,6679,8383,5.279841897233202
